"","PyLabel","X","Y","Length","Area","Mean","StdDev","Min","Max","ID","Source_File","CV","Pigmentation","log.Length","Family","Link","Width","HeadArea","PC1","PC2","PC3"
"1",1,5902,840,6.84,11.45,112.43,30.56,33,202,"ID1","Sample_001a_ID1.jpg",0.271814,0.559098,0.835056,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID1.jpg",5.23211,1.30584,-0.362312,-0.297509,1.29822
"2",2,5867,898,10.41,31.1,136.04,27.65,40,221,"ID2","Sample_001a_ID2.jpg",0.203249,0.46651,1.01745,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID2.jpg",6.79274,7.47338,-0.501856,4.67575,-0.71795
"3",3,5844,829,7.75,14.2,94.46,25.6,32,198,"ID3","Sample_001a_ID3.jpg",0.271014,0.629569,0.889302,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID3.jpg",2.30366,1.33423,-0.40999,-1.40943,-0.820967
"4",4,5880,823,9.89,24.73,101.99,28.15,25,244,"ID4","Sample_001a_ID4.jpg",0.276007,0.600039,0.995196,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID4.jpg",7.04637,3.76811,-1.09601,1.36986,1.01987
"5",5,5837,848,6.93,12.29,114.1,28.35,45,215,"ID5","Sample_001a_ID5.jpg",0.248466,0.552549,0.840733,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID5.jpg",3.92062,1.04299,-0.0558372,-0.608541,0.662843
"6",6,6074,870,9.59,21.93,62.31,24.78,6,214,"ID6","Sample_001a_ID6.jpg",0.397689,0.755647,0.981819,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID6.jpg",6.76393,1.89086,-2.15635,-1.41086,1.15284
"7",7,5889,816,9.44,21.12,81.36,26.47,19,208,"ID7","Sample_001a_ID7.jpg",0.325344,0.680941,0.974972,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID7.jpg",5.0138,2.43513,-1.33679,-0.682223,0.076977
"8",8,5811,865,9.59,21.62,97.12,29.97,16,221,"ID8","Sample_001a_ID8.jpg",0.308587,0.619137,0.981819,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID8.jpg",6.60869,2.30176,-1.10341,0.0873512,1.40528
"9",9,5872,888,10.43,22.06,79.48,27.83,20,219,"ID9","Sample_001a_ID9.jpg",0.350151,0.688314,1.01828,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID9.jpg",5.77399,2.38615,-1.55406,-0.709426,0.513223
"10",10,5860,712,9.25,20.94,103.17,31.06,25,234,"ID10","Sample_001a_ID10.jpg",0.301057,0.595412,0.966142,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID10.jpg",5.38483,1.45798,-0.707694,-0.546798,1.13892
"11",11,5945,886,8.28,16.64,95.92,30.83,22,209,"ID11","Sample_001a_ID11.jpg",0.321414,0.623843,0.91803,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID11.jpg",4.89815,3.01804,-1.06997,-0.0284693,-0.197341
"12",12,5860,851,9.61,22.14,100.75,27.59,20,215,"ID12","Sample_001a_ID12.jpg",0.273846,0.604902,0.982723,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID12.jpg",6.14954,5.72565,-1.24373,2.28589,-0.689511
"13",13,5806,945,10.92,30.38,84.61,24.43,16,222,"ID13","Sample_001a_ID13.jpg",0.288737,0.668196,1.03822,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID13.jpg",8.80814,2.4657,-1.5582,0.595038,2.74893
"14",14,5807,885,9.82,24.23,76.32,26.15,11,213,"ID14","Sample_001a_ID14.jpg",0.342636,0.700706,0.992112,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID14.jpg",8.36326,5.37592,-2.23844,1.69583,0.554506
"15",15,5832,818,9.82,25.31,103.12,24.04,37,210,"ID15","Sample_001a_ID15.jpg",0.233126,0.595608,0.992112,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID15.jpg",3.659,3.02387,-0.432183,0.352962,-0.669701
"16",16,5862,923,10.1,24.9,78.59,29.78,11,223,"ID16","Sample_001a_ID16.jpg",0.378929,0.691804,1.00432,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID16.jpg",4.86497,2.91607,-1.64538,-0.821943,-0.499723
"17",17,5810,885,10.54,29.43,72.64,29.88,13,220,"ID17","Sample_001a_ID17.jpg",0.411344,0.715137,1.02284,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID17.jpg",3.36486,5.8365,-2.07365,0.197702,-3.31337
"18",18,5867,826,7.63,10.97,121.39,25.75,50,231,"ID18","Sample_001a_ID18.jpg",0.212126,0.523961,0.882525,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID18.jpg",3.07676,2.06746,0.214871,0.161501,-0.297286
"19",19,5868,863,7.63,15.18,120.73,25.53,58,215,"ID19","Sample_001a_ID19.jpg",0.211464,0.526549,0.882525,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID19.jpg",3.64071,1.11198,0.252706,-0.270346,0.616974
"20",20,5801,847,6.48,10.15,105.11,25.61,40,219,"ID20","Sample_001a_ID20.jpg",0.24365,0.587804,0.811575,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID20.jpg",4.99143,2.53826,-0.524944,0.383768,0.476498
"21",21,5885,768,6.29,9.39,118.16,27.77,50,230,"ID21","Sample_001a_ID21.jpg",0.23502,0.536627,0.798651,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID21.jpg",2.50375,2.32226,0.0917175,-0.042899,-0.929056
"22",22,5788,783,6.4,9.18,133.66,24.31,55,215,"ID22","Sample_001a_ID22.jpg",0.181879,0.475843,0.80618,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID22.jpg",2.35052,2.0843,0.672697,0.435866,-0.589053
"23",23,5937,875,7.69,14.14,118.58,25.76,47,222,"ID23","Sample_001a_ID23.jpg",0.217237,0.53498,0.885926,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID23.jpg",2.5663,2.98454,0.0848454,0.48221,-1.19763
"24",24,5894,858,8.28,14.85,124.29,28.68,45,229,"ID24","Sample_001a_ID24.jpg",0.230751,0.512588,0.91803,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID24.jpg",2.3686,1.50914,0.349358,-0.399895,-0.49501
"25",25,5866,806,6.7,10.43,111.43,33.79,30,220,"ID25","Sample_001a_ID25.jpg",0.30324,0.56302,0.826075,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID25.jpg",3.89586,2.75135,-0.526274,0.00430597,-0.528048
"26",26,5795,843,7.48,13.09,98.03,31.74,26,221,"ID26","Sample_001a_ID26.jpg",0.323778,0.615569,0.873902,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID26.jpg",2.11871,1.18359,-0.50273,-1.79003,-1.01004
"27",27,5827,866,7.67,14.65,119.79,23.98,49,212,"ID27","Sample_001a_ID27.jpg",0.200184,0.530235,0.884795,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID27.jpg",2.0148,2.61902,0.282978,0.255639,-1.29184
"28",28,5877,832,8.05,15.68,131.19,29.72,43,230,"ID28","Sample_001a_ID28.jpg",0.226542,0.485529,0.905796,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID28.jpg",6.3008,2.04863,0.00212016,1.09492,1.90093
"29",29,5765,817,7.05,12.07,110.53,28.16,43,233,"ID29","Sample_001a_ID29.jpg",0.254772,0.566549,0.848189,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID29.jpg",3.98891,1.90064,-0.265127,-0.199351,0.172919
"30",30,5889,826,6.29,10.09,109.93,25.24,38,210,"ID30","Sample_001a_ID30.jpg",0.229601,0.568902,0.798651,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID30.jpg",3.74634,0.750363,-0.0155074,-0.80111,0.741853
"31",31,5851,817,7.82,14.58,98.5,30.35,23,229,"ID31","Sample_001a_ID31.jpg",0.308122,0.613725,0.893207,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID31.jpg",2.85126,2.07065,-0.619394,-0.973262,-0.964394
"32",32,5912,789,8.15,13.82,96.81,26.31,29,206,"ID32","Sample_001a_ID32.jpg",0.271769,0.620353,0.911158,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID32.jpg",3.07143,3.62703,-0.721653,0.188445,-1.58704
"33",33,5910,891,8.07,15.93,97.87,25.31,28,225,"ID33","Sample_001a_ID33.jpg",0.258608,0.616196,0.906874,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID33.jpg",5.22936,2.00069,-0.699734,-0.121152,0.829323
"34",34,5905,759,9.25,17.52,89.83,29.22,24,219,"ID34","Sample_001a_ID34.jpg",0.325281,0.647725,0.966142,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID34.jpg",3.68881,2.96202,-1.07001,-0.52456,-1.03759
"35",35,5780,873,7.94,15,96.79,25.57,31,210,"ID35","Sample_001a_ID35.jpg",0.26418,0.620431,0.899821,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID35.jpg",3.26504,2.64005,-0.597468,-0.300287,-0.873839
"36",36,5854,944,8.77,19.18,69.37,24.23,19,207,"ID36","Sample_001a_ID36.jpg",0.349286,0.727961,0.943,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID36.jpg",5.77157,3.43492,-1.88787,-0.302723,-0.161168
"37",37,5797,891,10.16,25.5,137.1,20.99,58,226,"ID37","Sample_001a_ID37.jpg",0.1531,0.462353,1.00689,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID37.jpg",3.6079,6.1826,0.230709,3.4299,-1.93887
"38",38,5919,850,7.56,13.81,103.53,26.33,29,223,"ID38","Sample_001a_ID38.jpg",0.254322,0.594,0.878522,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID38.jpg",5.72041,3.04268,-0.742415,0.768575,0.629605
"39",39,5849,830,3.53,2.77,131.23,25.13,73,217,"ID39","Sample_001a_ID39.jpg",0.191496,0.485373,0.547775,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID39.jpg",1.0424,0.432524,0.92738,-0.985307,-0.582809
"40",40,5856,826,4.1,3.42,157.73,26.53,69,232,"ID40","Sample_001a_ID40.jpg",0.168199,0.381451,0.612784,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID40.jpg",1.31854,0.67951,1.51747,-0.0546659,-0.241403
"41",41,5859,834,4.46,4.79,130.33,27.22,59,231,"ID41","Sample_001a_ID41.jpg",0.208854,0.488902,0.649335,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID41.jpg",3.4662,1.2725,0.466316,0.00340222,0.496979
"42",42,5845,835,4.44,3.71,130.22,28.06,68,234,"ID42","Sample_001a_ID42.jpg",0.215481,0.489333,0.647383,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID42.jpg",3.04699,0.751439,0.547168,-0.4543,0.487703
"43",43,5848,850,5.24,6.44,122.74,30.49,43,238,"ID43","Sample_001a_ID43.jpg",0.248411,0.518667,0.719331,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID43.jpg",1.73866,1.63714,0.303633,-0.625631,-1.06158
"44",44,5854,835,4.46,4.1,152.41,28.26,77,230,"ID44","Sample_001a_ID44.jpg",0.185421,0.402314,0.649335,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID44.jpg",1.64812,0.718643,1.2957,-0.167441,-0.145315
"45",45,5858,819,4.18,3.94,137.97,25.48,72,234,"ID45","Sample_001a_ID45.jpg",0.184678,0.458941,0.621176,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID45.jpg",1.17091,0.621364,1.05945,-0.653785,-0.525199
"46",46,5829,812,5.28,6.39,146.09,32.36,52,227,"ID46","Sample_001a_ID46.jpg",0.221507,0.427098,0.722634,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID46.jpg",2.14901,1.20513,0.906529,-0.108521,-0.260024
"47",47,5915,822,5.56,7.03,128.51,27.5,54,215,"ID47","Sample_001a_ID47.jpg",0.213991,0.496039,0.745075,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID47.jpg",4.2228,0.977064,0.357004,-0.0493545,1.13767
"48",48,5800,816,5.85,8.21,118.57,31.14,39,232,"ID48","Sample_001a_ID48.jpg",0.26263,0.53502,0.767156,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID48.jpg",1.6324,2.08455,0.118981,-0.564713,-1.46819
"49",49,5861,817,5.51,6.86,131.86,33.31,48,237,"ID49","Sample_001a_ID49.jpg",0.252616,0.482902,0.741152,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID49.jpg",2.28114,1.06048,0.486393,-0.657308,-0.312367
"50",50,5822,845,5.41,6.58,98.83,25.66,45,218,"ID50","Sample_001a_ID50.jpg",0.259638,0.612431,0.733197,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID50.jpg",2.90149,0.841149,-0.282549,-1.38522,-0.0677881
"51",51,5867,837,5.41,6.89,108.97,30.08,41,231,"ID51","Sample_001a_ID51.jpg",0.276039,0.572667,0.733197,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID51.jpg",4.47071,1.01949,-0.331749,-0.761199,0.90812
"52",52,5877,825,5.79,7.1,132.51,30.97,52,227,"ID52","Sample_001a_ID52.jpg",0.233718,0.480353,0.762679,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID52.jpg",1.52235,1.728,0.581186,-0.326432,-1.12758
"53",53,5868,803,6.36,9.31,126.45,29.55,46,251,"ID53","Sample_001a_ID53.jpg",0.233689,0.504118,0.803457,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID53.jpg",3.54646,2.45398,0.138166,0.487605,-0.23369
"54",54,5936,856,7.01,12.75,128.03,23.16,56,230,"ID54","Sample_001a_ID54.jpg",0.180895,0.497922,0.845718,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID54.jpg",5.68039,2.53353,0.127302,1.43371,1.34145
"55",55,5846,822,6.51,10,113.15,28.93,44,210,"ID55","Sample_001a_ID55.jpg",0.255678,0.556275,0.813581,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID55.jpg",5.33415,1.04182,-0.264178,-0.313843,1.57662
"56",56,5850,857,6.76,10.83,108.05,29.91,37,230,"ID56","Sample_001a_ID56.jpg",0.276816,0.576275,0.829947,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID56.jpg",2.92586,1.86235,-0.278915,-0.680496,-0.611886
"57",57,5867,789,6.48,10.03,119.05,24.45,51,219,"ID57","Sample_001a_ID57.jpg",0.205376,0.533137,0.811575,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID57.jpg",3.9067,2.1592,0.0870621,0.417648,0.209807
"58",58,5892,847,7.05,10.94,110.11,32.46,31,229,"ID58","Sample_001a_ID58.jpg",0.294796,0.568196,0.848189,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID58.jpg",2.6089,1.39312,-0.214494,-1.10382,-0.602985
"59",59,5846,834,6.38,9.39,118.15,26.54,47,227,"ID59","Sample_001a_ID59.jpg",0.22463,0.536667,0.804821,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID59.jpg",4.48663,1.07453,0.055226,-0.213089,1.13797
"60",60,5843,886,6.25,11.61,118.07,26.91,45,239,"ID60","Sample_001a_ID60.jpg",0.227916,0.53698,0.79588,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID60.jpg",5.55767,0.996479,-0.0714589,-0.00834911,1.88663
"61",61,5896,808,6.67,9.8,138.31,21.84,63,215,"ID61","Sample_001a_ID61.jpg",0.157906,0.457608,0.824126,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID61.jpg",1.8017,2.34366,0.896313,0.696063,-0.983028
"62",62,5849,844,4.5,4.74,143.58,23.65,86,225,"ID62","Sample_001a_ID62.jpg",0.164717,0.436941,0.653212,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID62.jpg",2.38092,1.12254,1.0597,0.193493,0.114722
"63",63,5813,842,3.34,2.48,154.62,24.14,88,238,"ID63","Sample_001a_ID63.jpg",0.156125,0.393647,0.523746,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID63.jpg",2.46707,0.517826,1.38818,0.148485,0.633892
"64",64,5846,841,4.37,4.47,132.22,30.08,63,228,"ID64","Sample_001a_ID64.jpg",0.2275,0.48149,0.640481,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID64.jpg",1.1761,1.04235,0.71981,-0.788533,-0.952721
"65",65,5841,826,3.76,2.95,158.13,23.95,90,227,"ID65","Sample_001a_ID65.jpg",0.151458,0.379882,0.575188,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID65.jpg",1.52989,0.465426,1.59294,-0.016853,0.081314
"66",66,5848,836,4.16,4.17,145.31,24.34,73,235,"ID66","Sample_001a_ID66.jpg",0.167504,0.430157,0.619093,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID66.jpg",1.89044,0.763382,1.18336,-0.123447,-0.00561753
"67",67,5856,826,3.25,2.28,178.57,17.71,110,225,"ID67","Sample_001a_ID67.jpg",0.0991768,0.299726,0.511883,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID67.jpg",1.87193,0.434428,2.1942,0.811859,0.67309
"68",68,5859,839,4.31,3.81,167.59,29.03,91,242,"ID68","Sample_001a_ID68.jpg",0.17322,0.342784,0.634477,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID68.jpg",2.10106,0.946716,1.5856,0.484942,0.194545
"69",69,5864,835,4.08,3.58,161.36,25.61,82,238,"ID69","Sample_001a_ID69.jpg",0.158713,0.367216,0.61066,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID69.jpg",1.84281,0.70149,1.56927,0.227992,0.158876
"70",70,5843,833,5.2,6.09,146.26,23.53,77,237,"ID70","Sample_001a_ID70.jpg",0.160878,0.426431,0.716003,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID70.jpg",3.28929,1.09957,1.03111,0.492419,0.77031
"71",71,5866,826,3.78,3.03,134.25,28.8,66,241,"ID71","Sample_001a_ID71.jpg",0.214525,0.473529,0.577492,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID71.jpg",0.995379,0.209901,0.932499,-1.20407,-0.542128
"72",72,5857,779,3.34,2.33,175.88,18.72,98,242,"ID72","Sample_001a_ID72.jpg",0.106436,0.310275,0.523746,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID72.jpg",1.75004,0.376702,2.1296,0.644356,0.577441
"73",73,5843,809,3.7,3.22,145.27,31.72,71,231,"ID73","Sample_001a_ID73.jpg",0.218352,0.430314,0.568202,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID73.jpg",2.38536,0.259127,0.986756,-0.606428,0.436939
"74",74,5864,791,4.03,3.32,136.54,28.34,74,238,"ID74","Sample_001a_ID74.jpg",0.207558,0.464549,0.605305,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID74.jpg",3.11873,0.476464,0.736022,-0.413933,0.769885
